组装机 : 木制箱×1                                                    = 木板×2 + 0.5
组装机 : 铁制箱×1                                                    = 铁板×8 + 0.5
组装机 : 钢制箱×1                                                    = 钢材×8 + 0.5
组装机 : 储液罐×1                                                    = 铁板×20 + 钢材×5 + 3

组装机 : 基础传送带×2                                                = 铁板×1 + 铁齿轮×1 + 0.5
组装机 : 高速传送带×1                                                = 铁齿轮×5 + 基础传送带×1 + 0.5
组装机 : 极速传送带×1                                                = 铁齿轮×10 + 高速传送带×1 + 润滑油×20 + 0.5
组装机 : 基础地下传送带×2                                            = 铁板×10 + 基础传送带×5 + 1 
组装机 : 高速地下传送带×2                                            = 铁齿轮×40 + 基础地下传送带×2 + 2
组装机 : 极速地下传送带×2                                            = 铁齿轮×80 + 高速地下传送带×2 + 润滑油×40 + 2
组装机 : 基础分流器×1                                                = 电路板×5 + 铁板×5 + 基础传送带×4 + 1
组装机 : 高速分流器×1                                                = 基础分流器×1 + 铁齿轮×10 + 电路板×10 + 2
组装机 : 极速分流器×1                                                = 高速分流器×1 + 铁齿轮×10 + 集成电路×10 + 润滑油×80 + 2

组装机 : 热能机械臂×1                                                = 铁板×1 + 铁齿轮×1 + 0.5
组装机 : 电力机械臂×1                                                = 电路板×1 + 铁齿轮×1 + 铁板×1 + 0.5
组装机 : 加长机械臂×1                                                = 铁齿轮×1 + 铁板×1 + 电力机械臂×1 + 0.5
组装机 : 高速机械臂×1                                                = 电路板×2 + 铁板×2 + 电力机械臂×1 + 0.5
组装机 : 筛选机械臂×1                                                = 高速机械臂×1 + 电路板×4 + 0.5
组装机 : 集装机械臂×1                                                = 铁齿轮×15 + 电路板×15 + 集成电路×1 + 高速机械臂×1 + 0.5
组装机 : 集装筛选机械臂×1                                            = 集装机械臂×1 + 电路板×5 + 0.5

组装机 : 小型电线杆×2                                                = 木板×1 + 铜线×2 + 0.5
组装机 : 中型电线杆×1                                                = 钢材×2 + 铜板×2 + 铁棒×4 + 0.5
组装机 : 远程输电塔×1                                                = 钢材×5 + 铜板×5 + 铁棒×8 + 0.5
组装机 : 广域配电站×1                                                = 钢材×10 + 集成电路×5 + 铜板×5 + 0.5
组装机 : 管道×1                                                      = 铁板×1 + 0.5
组装机 : 地下管道×2                                                  = 管道×10 + 铁板×5 + 0.5
组装机 : 管道泵×1                                                    = 内燃机×1 + 钢材×1 + 管道×1 + 2

组装机 : 铁轨×2                                                      = 石矿×1 + 铁棒×1 + 钢材×1 + 0.5
组装机 : 火车站×1                                                    = 电路板×5 + 铁板×6 + 钢材×3 + 铁棒×6 + 0.5
组装机 : 基础铁路信号灯×1                                            = 电路板×1 + 铁板×5 + 0.5
组装机 : 联锁铁路信号灯×1                                            = 电路板×1 + 铁板×5 + 0.5
组装机 : 内燃机车×1                                                  = 内燃机×20 + 电路板×10 + 钢材×30 + 4
组装机 : 货运车厢×1                                                  = 铁齿轮×10 + 铁板×20 + 钢材×20 + 1
组装机 : 液罐车厢×1                                                  = 铁齿轮×10 + 钢材×16 + 管道×8 + 储液罐×1 + 1.5
组装机 : 重炮车厢×1                                                  = 内燃机×64 + 铁齿轮×10 + 钢材×40 + 管道×16 + 集成电路×20 + 4
组装机 : 汽车×1                                                      = 内燃机×8 + 铁板×20 + 钢材×5 + 2
组装机 : 坦克×1                                                      = 内燃机×32 + 钢材×50 + 铁齿轮×15 + 集成电路×10 + 5

